object_id,leak_id,parser,file_name,filepath,date_parsed,file_size,file_line_count,parsed_identities,already_read_lines,status,file_type,detected_fields,leak_source
649c6e0f68eea91ac104f04a,0d193202b6fd0c69107c046f2e83b76bb031e00bdff3a8421f08de3011f12b32,xing2-2.0.1,315.txt,collection1/Collection  #1_OLD CLOUD_USA combos/315.txt,1687973539,3239543,100000,99984,100000,finished,unknown,"['password', 'username', 'cc', 'email']",Collection#1
649c16afc0b597f7f624a225,0d2d7c28f0518e13ab45d521d433bd95dea7215b2e088cff4ee591c18ddcb563,xing5-2.0.1,Расшифровка ILikeCheats.com [140k].txt,collection1/Collection  #1_Games combos_Dumps/Расшифровка ILikeCheats.com [140k].txt,1687952996,4826331,140024,83379,140024,finished,unknown,"['unknown', 'password', 'email', 'username']",Collection#1
649c79a880bfe06f0891b503,0d5b470ce2e4db0a0e15ebbb3ce4d4779bbdb30544eae0f80b3cd145225b072b,xing4-2.0.1,228.txt,collection1/Collection  #1_BTC combos/228.txt,1687976497,3186764,100000,99996,100000,finished,unknown,"['password', 'unknown', 'username', 'email']",Collection#1
649c7fa368eea91ac100b97c,0e8d9d150b5b9d23238258e9515c3f6d012a4afb8202b1446975fb56c52d1529,xing2-2.0.1,33.txt,collection1/Collection  #1_OLD CLOUD_Porn combos/33.txt,1687978015,3128371,100000,99997,100000,finished,unknown,"['username', 'password', 'email']",Collection#1
649c68bd8daf2c5b4541ca02,0f948b36f4764e33754c367e5054148f0bf573079da9c5ffaa5bb22f7cd16dff,xing4-2.0.1,2064.txt,collection1/Collection  #1_EU combos/2064.txt,1687972152,3264019,100000,99998,100000,finished,unknown,"['username', 'password', 'email']",Collection#1
649c86ac68eea91ac165a023,10150a833d73e749097293c5e81e5a541e939a6a1cb6c09acbea4944364ac394,xing2-2.0.1,138.txt,collection1/Collection  #1_RU combo/138.txt,1687979815,3042341,100000,99999,100000,finished,unknown,"['password', 'username', 'email']",Collection#1
649c794868eea91ac1c94be1,1027255b6d6ac59ef77138daf0bf4fd320d8fb6f4e66c7c56b89934a40bae487,xing2-2.0.1,196.txt,collection1/Collection  #1_OLD CLOUD_Monetary combos/196.txt,1687976405,3188362,100000,99998,100000,finished,unknown,"['password', 'username', 'email']",Collection#1
649cd61368eea91ac1f6e5c3,102ab29900dfd662043e8ae2dec6590a2f01f859973d59a80b691fb2fb07906a,xing2-2.0.1,www.bestweekends.com.txt,collection1/Collection  #1_OLD CLOUD_Dump cleaned - deleted duplicated and trash/www.bestweekends.com.txt,1688000020,39250,1364,1364,1364,finished,unknown,"['email', 'password']",Collection#1
649c1f6451f74feeeecfbce7,10401cc359e44c4a7b43c8a97cd7af22cf7e52f38f979d40c3d38823a03f577e,xeno7-2.0.1,muxtar.com.ua {11.676} [HASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/muxtar.com.ua {11.676} [HASH].txt,1687953268,651900,11675,11546,11675,finished,unknown,"['password', 'username', 'cc', 'email']",Collection#1
649c9dc568eea91ac14bd61c,107ce14768e2c3a39720041c8fd8d8efc4f750de7bc573f8ee2b8345116ff068,xing2-2.0.1,www.minyanville.com.txt,collection1/Collection  #1_OLD CLOUD_Dump cleaned - deleted duplicated and trash/www.minyanville.com.txt,1687985688,2295985,66437,66435,66437,finished,unknown,"['password', 'email']",Collection#1
