object_id,leak_id,parser,file_name,filepath,date_parsed,file_size,file_line_count,parsed_identities,already_read_lines,status,file_type,detected_fields,leak_source
649c0f90c0b597f7f6915d28,b9b39a0ae489314e1ab75d550d0ede8fc3f9c9e0fa3056bce3566b06fd9447e5,xing5-2.0.1,img-corp.net {.100.953} [NOHASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/img-corp.net {.100.953} [NOHASH].txt,1687949513,3186176,100953,100936,100953,finished,unknown,"['email', 'username', 'cc', 'password', 'unknown']",Collection#1
649c1629c0b597f7f60c282b,cdf0c05341e523f59e12ebac08db822f282366244cf94df34cbf072f68a16dcf,xing5-2.0.1,Расшифровка Libero.it [418k].txt,collection1/Collection  #1_OLD CLOUD_OLD DUMPS DEHASHED/Расшифровка Libero.it [418k].txt,1688021821,14644730,418716,428716,418716,finished,unknown,"['password', 'email']",Collection#1
649c0eeb68eea91ac1f4be4f,d07ff0fcea78741c3989eff8adcf4546001cad7b02066a4cb00742688b32671b,xing2-2.0.1,mygamespocket.com.txt,collection1/Collection  #1_OLD CLOUD_Dump cleaned - deleted duplicated and trash/mygamespocket.com.txt,1687949666,11701551,357866,357625,357866,finished,unknown,"['password', 'username', 'email']",Collection#1
649c079fc0b597f7f674a062,dbe8ba105557140b3a39f90ebf8e2e6f545553d8aea292af05149db321a66708,xing5-2.0.1,www.koka36.de {359.072} [HASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/www.koka36.de {359.072} [HASH].txt,1687947707,17941249,359071,359047,359071,finished,unknown,"['password', 'email', 'username', 'hash-mysql', 'hash-sha1']",Collection#1
649c0e38a3e1176796279bd1,eb3a1963ad9fe12a93c0a214f83daec1fdbdedf2f34fb67b78bdf645c9007f30,xing1-2.0.1,Расшифровка DDO.com [1kk].txt,collection1/Collection  #1_Games combos_Dumps/Расшифровка DDO.com [1kk].txt,1687950950,33156333,1032638,1032588,1032638,finished,unknown,"['cc', 'email', 'unknown', 'username', 'password']",Collection#1
649c07a0c0b597f7f674a080,f32b3c856abf36bba56e23b7a1b30f3c7d32af48644e649783039d6fc74e7559,xing5-2.0.1,fantasyseriea.com {.134.047} [HASH+NOHASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/fantasyseriea.com {.134.047} [HASH+NOHASH].txt,1687947416,7906419,134047,134047,134047,finished,unknown,"['password', 'email']",Collection#1
649c0eb068eea91ac1e7bd80,01ae8290809ec38ad9ef227906cb1c936a68c0a91db81869dac875ccde6cd29b,xing2-2.0.1,Расшифровка GameTurk.com [388k].txt,collection1/Collection  #1_Games combos_Dumps/Расшифровка GameTurk.com [388k].txt,1687949655,13078957,388202,388202,388202,finished,unknown,"['email', 'password']",Collection#1
649c0f0268eea91ac1fb12d7,02f97a556d3a65ffbd4cedb0e3a60ce2311c259b2dc31e1b925dd17b25afda4b,xing2-2.0.1,Расшифровка CounterStrike.cn [333k].txt,collection1/Collection  #1_Games combos_Dumps/Расшифровка CounterStrike.cn [333k].txt,1687949661,9272843,333002,333002,333002,finished,unknown,"['email', 'cc', 'password']",Collection#1
649c13b58daf2c5b45972a12,056da25efea5f38f830720eb578ea9bf43a2a913db79e3be331c39c9830b25ea,xing4-2.0.1,www.selectsmart.com.txt,collection1/Collection  #1_OLD CLOUD_Dump cleaned - deleted duplicated and trash/www.selectsmart.com.txt,1687950908,6082013,197183,197039,197183,finished,unknown,"['email', 'password', 'username']",Collection#1
649c0c4691d097f76a84c992,07360da6e316e88318f23bf113ad8e4e7ff11ec8098f401bfb11a98675ffdd38,xing4-2.0.1,mail7 {02.10.17}.txt,collection1/Collection  #1_NEW combo semi private_EU combo/mail7 {02.10.17}.txt,1687960226,351963981,11535470,11365313,11535470,finished,unknown,"['cc', 'email', 'username', 'password', 'unknown']",Collection#1
